TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1514922680,"North Station","323","Lowell",1514923200,0,,"On Time"
1514922680,"North Station","165","Newburyport",1514924100,0,,"On Time"
1514922680,"North Station","211","Haverhill",1514924100,0,,"On Time"
1514922680,"North Station","415","Wachusett",1514925000,0,,"On Time"
1514922680,"North Station","113","Rockport",1514925300,0,,"On Time"
1514922680,"North Station","325","Lowell",1514925600,0,,"On Time"
1514922680,"North Station","291","Reading",1514926200,0,,"On Time"
1514922680,"North Station","493","Littleton / Rte 495",1514926740,0,,"On Time"
1514922680,"North Station","115","Rockport",1514927700,0,,"On Time"
1514922680,"North Station","327","Lowell",1514927700,0,,"On Time"
1514922680,"North Station","213","Haverhill",1514928600,0,,"On Time"
1514922680,"North Station","417","Wachusett",1514928600,0,,"On Time"
1514922680,"North Station","167","Newburyport",1514928600,0,,"On Time"
1514922680,"North Station","193","Beverly",1514929200,0,,"On Time"
1514922680,"North Station","329","Lowell",1514929500,0,,"On Time"
1514922680,"North Station","293","Reading",1514929680,0,,"On Time"
1514922680,"South Station","613","Needham Heights",1514923200,0,"1","Now Boarding"
1514922680,"South Station","817","Wickford Junction",1514924700,0,,"On Time"
1514922680,"South Station","517","Worcester / Union Station",1514925000,0,,"On Time"
1514922680,"South Station","771","Readville",1514925000,0,,"On Time"
1514922680,"South Station","913","Stoughton",1514925300,0,,"On Time"
1514922680,"South Station","017","Middleboro/Lakeville",1514925780,0,,"On Time"
1514922680,"South Station","715","Forge Park / 495",1514926080,0,,"On Time"
1514922680,"South Station","819","Providence",1514926500,0,,"On Time"
1514922680,"South Station","081","Greenbush",1514926920,0,,"On Time"
1514922680,"South Station","615","Needham Heights",1514927100,0,,"On Time"
1514922680,"South Station","743","Norwood Central",1514927700,0,,"On Time"
1514922680,"South Station","773","Readville",1514927700,0,,"On Time"
1514922680,"South Station","043","Kingston",1514928000,0,,"On Time"
1514922680,"South Station","519","Worcester / Union Station",1514928000,0,,"On Time"
1514922680,"South Station","915","Stoughton",1514928000,0,,"On Time"
1514922680,"South Station","821","Wickford Junction",1514928600,0,,"On Time"
1514922680,"South Station","591","Framingham",1514928600,0,,"On Time"
1514922680,"South Station","019","Middleboro/Lakeville",1514929200,0,,"On Time"
1514922680,"South Station","717","Forge Park / 495",1514929380,0,,"On Time"
1514922680,"South Station","617","Needham Heights",1514929620,0,,"On Time"
1514922680,"South Station","083","Greenbush",1514929920,0,,"On Time"
